districtname,aun,dataelement,displayvalue
Aliquippa SD,127040503,Telephone Number,724-857-7500
Aliquippa SD,127040503,Website,http://www.quipsd.org
Aliquippa SD,127040503,White ,15
Allegheny Valley SD,103020603,2 or More Races,4.68
Allegheny Valley SD,103020603,American Indian/Alaskan Native ,0.21
Allegheny Valley SD,103020603,Asian ,0.11
Allegheny Valley SD,103020603,Black/African American ,1.6
Allegheny Valley SD,103020603,Career and Technical Center Name,Forbes Road CTC
Allegheny Valley SD,103020603,Career and Technical Center Website,http://www.forbesroad.com
Allegheny Valley SD,103020603,Charter School Enrollment,25
Allegheny Valley SD,103020603,District Address (City),Cheswick
Allegheny Valley SD,103020603,District Address (State),PA
Allegheny Valley SD,103020603,District Address (Street),300 Pearl Ave
Allegheny Valley SD,103020603,District Enrollment,940
Allegheny Valley SD,103020603,District Name,Allegheny Valley SD
Allegheny Valley SD,103020603,District Zip Code,15024
Allegheny Valley SD,103020603,Economically Disadvantaged,50.64
Allegheny Valley SD,103020603,English Learner,0.32
Allegheny Valley SD,103020603,Enrollment in Partnering Career and Technical Center(s),30
Allegheny Valley SD,103020603,Female,44.57
Allegheny Valley SD,103020603,Foster Care,0.85
Allegheny Valley SD,103020603,Geographic Size of District (Square Miles),10.38
Allegheny Valley SD,103020603,Grades Offered,"PreKH, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Allegheny Valley SD,103020603,Hispanic ,2.02
Allegheny Valley SD,103020603,Homeless,0.96
Allegheny Valley SD,103020603,Intermediate Unit Name,Allegheny IU 3
Allegheny Valley SD,103020603,Intermediate Unit Website,http://www.aiu3.net
Allegheny Valley SD,103020603,Male,55.43
Allegheny Valley SD,103020603,Military Connected,0
Allegheny Valley SD,103020603,Native Hawaiian or other Pacific Islander ,0
Allegheny Valley SD,103020603,Number of Schools,2
Allegheny Valley SD,103020603,Percent of Gifted Students,3.4
Allegheny Valley SD,103020603,Special Education,17.66
Allegheny Valley SD,103020603,Telephone Number,724-274-5300
Allegheny Valley SD,103020603,Website,http://www.avsdweb.org
Allegheny Valley SD,103020603,White ,91.38
Allegheny-Clarion Valley SD,106160303,2 or More Races,0.93
Allegheny-Clarion Valley SD,106160303,American Indian/Alaskan Native ,0
Allegheny-Clarion Valley SD,106160303,Asian ,0
Allegheny-Clarion Valley SD,106160303,Black/African American ,3.25
Allegheny-Clarion Valley SD,106160303,Career and Technical Center Name,Clarion County Career Center
Allegheny-Clarion Valley SD,106160303,Career and Technical Center Website,http://www.clarioncte.org
Allegheny-Clarion Valley SD,106160303,Charter School Enrollment,23
Allegheny-Clarion Valley SD,106160303,District Address (City),Foxburg
Allegheny-Clarion Valley SD,106160303,District Address (State),PA
Allegheny-Clarion Valley SD,106160303,District Address (Street),776 Route 58
Allegheny-Clarion Valley SD,106160303,District Enrollment,646
Allegheny-Clarion Valley SD,106160303,District Name,Allegheny-Clarion Valley SD
Allegheny-Clarion Valley SD,106160303,District Zip Code,16036
Allegheny-Clarion Valley SD,106160303,Economically Disadvantaged,41.18
Allegheny-Clarion Valley SD,106160303,English Learner,0
Allegheny-Clarion Valley SD,106160303,Enrollment in Partnering Career and Technical Center(s),47
Allegheny-Clarion Valley SD,106160303,Female,47.37
Allegheny-Clarion Valley SD,106160303,Foster Care,1.39
Allegheny-Clarion Valley SD,106160303,Geographic Size of District (Square Miles),125.29
Allegheny-Clarion Valley SD,106160303,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Allegheny-Clarion Valley SD,106160303,Hispanic ,0.15
Allegheny-Clarion Valley SD,106160303,Homeless,2.01
Allegheny-Clarion Valley SD,106160303,Intermediate Unit Name,Riverview IU 6
Allegheny-Clarion Valley SD,106160303,Intermediate Unit Website,http://www.riu6.org
Allegheny-Clarion Valley SD,106160303,Male,52.63
Allegheny-Clarion Valley SD,106160303,Military Connected,0.15
Allegheny-Clarion Valley SD,106160303,Native Hawaiian or other Pacific Islander ,0
Allegheny-Clarion Valley SD,106160303,Number of Schools,2
Allegheny-Clarion Valley SD,106160303,Percent of Gifted Students,1.7
Allegheny-Clarion Valley SD,106160303,Special Education,17.49
Allegheny-Clarion Valley SD,106160303,Telephone Number,724-659-5820
Allegheny-Clarion Valley SD,106160303,Website,http://www.acvsd.org
Allegheny-Clarion Valley SD,106160303,White ,95.67
Allentown City SD,121390302,2 or More Races,4.11
Allentown City SD,121390302,American Indian/Alaskan Native ,0.1
Allentown City SD,121390302,Asian ,1.12
Allentown City SD,121390302,Black/African American ,13.63
Allentown City SD,121390302,Career and Technical Center Name,Lehigh Career & Technical Institute
Allentown City SD,121390302,Career and Technical Center Website,http://www.lcti.org
Allentown City SD,121390302,Charter School Enrollment,4589
Allentown City SD,121390302,District Address (City),Allentown
Allentown City SD,121390302,District Address (State),PA
Allentown City SD,121390302,District Address (Street),31 S Penn Street
Allentown City SD,121390302,District Enrollment,16730
Allentown City SD,121390302,District Name,Allentown City SD
Allentown City SD,121390302,District Zip Code,18105
Allentown City SD,121390302,Economically Disadvantaged,67.53
Allentown City SD,121390302,English Learner,17.6
Allentown City SD,121390302,Enrollment in Partnering Career and Technical Center(s),742
Allentown City SD,121390302,Female,46.86
Allentown City SD,121390302,Foster Care,0.59
Allentown City SD,121390302,Geographic Size of District (Square Miles),18.02
Allentown City SD,121390302,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Allentown City SD,121390302,Hispanic ,72.33
Allentown City SD,121390302,Homeless,3.41
Allentown City SD,121390302,Intermediate Unit Name,Carbon-Lehigh IU 21
Allentown City SD,121390302,Intermediate Unit Website,http://www.cliu.org
Allentown City SD,121390302,Male,53.14
Allentown City SD,121390302,Military Connected,0.07
Allentown City SD,121390302,Native Hawaiian or other Pacific Islander ,0.12
Allentown City SD,121390302,Number of Schools,22
Allentown City SD,121390302,Percent of Gifted Students,1.59
Allentown City SD,121390302,Special Education,17.73
Allentown City SD,121390302,Telephone Number,484-765-4000
Allentown City SD,121390302,Website,http://www.allentownsd.org/
Allentown City SD,121390302,White ,8.6
Altoona Area SD,108070502,2 or More Races,1.71
Altoona Area SD,108070502,American Indian/Alaskan Native ,0.13
Altoona Area SD,108070502,Asian ,0.71
Altoona Area SD,108070502,Black/African American ,8.44
Altoona Area SD,108070502,Career and Technical Center Name,Greater Altoona CTC
Altoona Area SD,108070502,Career and Technical Center Website,http://www.gactc.edu
Altoona Area SD,108070502,Charter School Enrollment,230
Altoona Area SD,108070502,District Address (City),Altoona
Altoona Area SD,108070502,District Address (State),PA
Altoona Area SD,108070502,District Address (Street),1404 6th Ave
Altoona Area SD,108070502,District Enrollment,7486
Altoona Area SD,108070502,District Name,Altoona Area SD
Altoona Area SD,108070502,District Zip Code,16602
Altoona Area SD,108070502,Economically Disadvantaged,64.01
Altoona Area SD,108070502,English Learner,0.52
Altoona Area SD,108070502,Enrollment in Partnering Career and Technical Center(s),474
Altoona Area SD,108070502,Female,47.65
Altoona Area SD,108070502,Foster Care,0.53
Altoona Area SD,108070502,Geographic Size of District (Square Miles),70.19
Altoona Area SD,108070502,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Altoona Area SD,108070502,Hispanic ,2.19
Altoona Area SD,108070502,Homeless,2.73
Altoona Area SD,108070502,Intermediate Unit Name,Appalachia IU 8
Altoona Area SD,108070502,Intermediate Unit Website,http://www.iu08.org
Altoona Area SD,108070502,Male,52.35
Altoona Area SD,108070502,Military Connected,0.25
Altoona Area SD,108070502,Native Hawaiian or other Pacific Islander ,0.07
Altoona Area SD,108070502,Number of Schools,11
Altoona Area SD,108070502,Percent of Gifted Students,1.62
Altoona Area SD,108070502,Special Education,20.88
Altoona Area SD,108070502,Telephone Number,814-946-8211
Altoona Area SD,108070502,Website,http://www.aasdcat.com/aasd
Altoona Area SD,108070502,White ,86.75
Ambridge Area SD,127040703,2 or More Races,5.94
Ambridge Area SD,127040703,American Indian/Alaskan Native ,0.08
Ambridge Area SD,127040703,Asian ,0.84
Ambridge Area SD,127040703,Black/African American ,18.03
Ambridge Area SD,127040703,Career and Technical Center Name,Beaver County CTC
Ambridge Area SD,127040703,Career and Technical Center Website,http://www.bcctc.org
Ambridge Area SD,127040703,Charter School Enrollment,435
Ambridge Area SD,127040703,District Address (City),Ambridge
Ambridge Area SD,127040703,District Address (State),PA
Ambridge Area SD,127040703,District Address (Street),901 Duss Avenue
Ambridge Area SD,127040703,District Enrollment,2390
Ambridge Area SD,127040703,District Name,Ambridge Area SD
Ambridge Area SD,127040703,District Zip Code,15003
Ambridge Area SD,127040703,Economically Disadvantaged,51.97
Ambridge Area SD,127040703,English Learner,1.13
Ambridge Area SD,127040703,Enrollment in Partnering Career and Technical Center(s),79
Ambridge Area SD,127040703,Female,47.57
Ambridge Area SD,127040703,Foster Care,0.67
Ambridge Area SD,127040703,Geographic Size of District (Square Miles),25.59
Ambridge Area SD,127040703,Grades Offered,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Ambridge Area SD,127040703,Hispanic ,2.51
Ambridge Area SD,127040703,Homeless,3.15
Ambridge Area SD,127040703,Intermediate Unit Name,Beaver Valley IU 27
Ambridge Area SD,127040703,Intermediate Unit Website,http://www.bviu.org
Ambridge Area SD,127040703,Male,52.43
Ambridge Area SD,127040703,Military Connected,0.54
Ambridge Area SD,127040703,Native Hawaiian or other Pacific Islander ,0.08
Ambridge Area SD,127040703,Number of Schools,5
Ambridge Area SD,127040703,Percent of Gifted Students,1.51
Ambridge Area SD,127040703,Special Education,19.29
Ambridge Area SD,127040703,Telephone Number,724-266-2833
Ambridge Area SD,127040703,Website,http://www.ambridge.k12.pa.us
Ambridge Area SD,127040703,White ,72.51
Annville-Cleona SD,113380303,2 or More Races,4.1
Annville-Cleona SD,113380303,American Indian/Alaskan Native ,0
Annville-Cleona SD,113380303,Asian ,1.39
Annville-Cleona SD,113380303,Black/African American ,1.32
Annville-Cleona SD,113380303,Career and Technical Center Name,Lebanon County CTC
Annville-Cleona SD,113380303,Career and Technical Center Website,http://www.lcctc.edu
Annville-Cleona SD,113380303,Charter School Enrollment,19
Annville-Cleona SD,113380303,District Address (City),Annville
Annville-Cleona SD,113380303,District Address (State),PA
Annville-Cleona SD,113380303,District Address (Street),520 S White Oak St
Annville-Cleona SD,113380303,District Enrollment,1439
Annville-Cleona SD,113380303,District Name,Annville-Cleona SD
Annville-Cleona SD,113380303,District Zip Code,17003
Annville-Cleona SD,113380303,Economically Disadvantaged,31.27
Annville-Cleona SD,113380303,English Learner,1.81
Annville-Cleona SD,113380303,Enrollment in Partnering Career and Technical Center(s),47
Annville-Cleona SD,113380303,Female,47.26
Annville-Cleona SD,113380303,Foster Care,0.63
Annville-Cleona SD,113380303,Geographic Size of District (Square Miles),39.22
Annville-Cleona SD,113380303,Grades Offered,"K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Annville-Cleona SD,113380303,Hispanic ,9.17
Annville-Cleona SD,113380303,Homeless,1.32
Annville-Cleona SD,113380303,Intermediate Unit Name,Lancaster-Lebanon IU 13
Annville-Cleona SD,113380303,Intermediate Unit Website,http://www.iu13.org
Annville-Cleona SD,113380303,Male,52.74
Annville-Cleona SD,113380303,Military Connected,0
Annville-Cleona SD,113380303,Native Hawaiian or other Pacific Islander ,0
Annville-Cleona SD,113380303,Number of Schools,4
Annville-Cleona SD,113380303,Percent of Gifted Students,5.35
Annville-Cleona SD,113380303,Special Education,15.57
Annville-Cleona SD,113380303,Telephone Number,717-867-7600
Annville-Cleona SD,113380303,Website,http://www.acschools.org
Annville-Cleona SD,113380303,White ,84.02
Antietam SD,114060503,2 or More Races,4.91
Antietam SD,114060503,American Indian/Alaskan Native ,0
Antietam SD,114060503,Asian ,0.36
Antietam SD,114060503,Black/African American ,5.91
Antietam SD,114060503,Career and Technical Center Name,Berks CTC
Antietam SD,114060503,Career and Technical Center Website,http://www.berkscareer.com
Antietam SD,114060503,Charter School Enrollment,43
Antietam SD,114060503,District Address (City),Reading
Antietam SD,114060503,District Address (State),PA
Antietam SD,114060503,District Address (Street),100 Antietam Rd Stony Ck Mills
Antietam SD,114060503,District Enrollment,1099
Antietam SD,114060503,District Name,Antietam SD
Antietam SD,114060503,District Zip Code,19606
Antietam SD,114060503,Economically Disadvantaged,56.78
Antietam SD,114060503,English Learner,3.64
Antietam SD,114060503,Enrollment in Partnering Career and Technical Center(s),39
Antietam SD,114060503,Female,47.04
Antietam SD,114060503,Foster Care,0.82
Antietam SD,114060503,Geographic Size of District (Square Miles),5.21
Antietam SD,114060503,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Antietam SD,114060503,Hispanic ,39.04
Antietam SD,114060503,Homeless,1.82
Antietam SD,114060503,Intermediate Unit Name,Berks County IU 14
Antietam SD,114060503,Intermediate Unit Website,http://www.berksiu.org
Antietam SD,114060503,Male,52.96
Antietam SD,114060503,Military Connected,0.91
Antietam SD,114060503,Native Hawaiian or other Pacific Islander ,0
Antietam SD,114060503,Number of Schools,3
Antietam SD,114060503,Percent of Gifted Students,4.37
Antietam SD,114060503,Special Education,23.93
Antietam SD,114060503,Telephone Number,610-779-0554
Antietam SD,114060503,Website,http://www.antietamsd.org
Antietam SD,114060503,White ,49.77
Apollo-Ridge SD,128030603,2 or More Races,3.96
Apollo-Ridge SD,128030603,American Indian/Alaskan Native ,0.34
Apollo-Ridge SD,128030603,Asian ,0.6
Apollo-Ridge SD,128030603,Black/African American ,0.52
Apollo-Ridge SD,128030603,Career and Technical Center Name,Lenape Tech
Apollo-Ridge SD,128030603,Career and Technical Center Website,http://www.lenapetech.net
Apollo-Ridge SD,128030603,Charter School Enrollment,38
Apollo-Ridge SD,128030603,District Address (City),Spring Church
Apollo-Ridge SD,128030603,District Address (State),PA
Apollo-Ridge SD,128030603,District Address (Street),1825 State Route 56
Apollo-Ridge SD,128030603,District Enrollment,1161
Apollo-Ridge SD,128030603,District Name,Apollo-Ridge SD
Apollo-Ridge SD,128030603,District Zip Code,15686
Apollo-Ridge SD,128030603,Economically Disadvantaged,55.9
Apollo-Ridge SD,128030603,English Learner,0
Apollo-Ridge SD,128030603,Enrollment in Partnering Career and Technical Center(s),67
Apollo-Ridge SD,128030603,Female,46.68
Apollo-Ridge SD,128030603,Foster Care,0.78
Apollo-Ridge SD,128030603,Geographic Size of District (Square Miles),76.83
Apollo-Ridge SD,128030603,Grades Offered,"PreKF, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Apollo-Ridge SD,128030603,Hispanic ,0.6
Apollo-Ridge SD,128030603,Homeless,1.72
Apollo-Ridge SD,128030603,Intermediate Unit Name,ARIN IU 28
Apollo-Ridge SD,128030603,Intermediate Unit Website,http://www.iu28.org
Apollo-Ridge SD,128030603,Male,53.32
Apollo-Ridge SD,128030603,Military Connected,0.09
Apollo-Ridge SD,128030603,Native Hawaiian or other Pacific Islander ,0
Apollo-Ridge SD,128030603,Number of Schools,3
Apollo-Ridge SD,128030603,Percent of Gifted Students,1.64
Apollo-Ridge SD,128030603,Special Education,18.26
Apollo-Ridge SD,128030603,Telephone Number,724-478-6010
Apollo-Ridge SD,128030603,Website,http://www.apolloridge.com
Apollo-Ridge SD,128030603,White ,93.97
Armstrong SD,128030852,2 or More Races,0.5
Armstrong SD,128030852,American Indian/Alaskan Native ,0.12
Armstrong SD,128030852,Asian ,0.28
Armstrong SD,128030852,Black/African American ,1.39
Armstrong SD,128030852,Career and Technical Center Name,Lenape Tech
Armstrong SD,128030852,Career and Technical Center Website,http://www.lenapetech.net
Armstrong SD,128030852,Charter School Enrollment,93
Armstrong SD,128030852,District Address (City),Kittanning
Armstrong SD,128030852,District Address (State),PA
Armstrong SD,128030852,District Address (Street),181 Heritage Park Drive
Armstrong SD,128030852,District Enrollment,4965
Armstrong SD,128030852,District Name,Armstrong SD
Armstrong SD,128030852,District Zip Code,16201
Armstrong SD,128030852,Economically Disadvantaged,42.6
Armstrong SD,128030852,English Learner,0.18
Armstrong SD,128030852,Enrollment in Partnering Career and Technical Center(s),403
Armstrong SD,128030852,Female,48.92
Armstrong SD,128030852,Foster Care,0.66
Armstrong SD,128030852,Geographic Size of District (Square Miles),444.17
Armstrong SD,128030852,Grades Offered,"K5H, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Armstrong SD,128030852,Hispanic ,0.95
Armstrong SD,128030852,Homeless,1.81
Armstrong SD,128030852,Intermediate Unit Name,ARIN IU 28
Armstrong SD,128030852,Intermediate Unit Website,http://www.iu28.org
Armstrong SD,128030852,Male,51.08
Armstrong SD,128030852,Military Connected,0.4
Armstrong SD,128030852,Native Hawaiian or other Pacific Islander ,0.02
Armstrong SD,128030852,Number of Schools,8
Armstrong SD,128030852,Percent of Gifted Students,3.5
Armstrong SD,128030852,Special Education,20
Armstrong SD,128030852,Telephone Number,724-548-7200
Armstrong SD,128030852,Website,http://www.asd.k12.pa.us
Armstrong SD,128030852,White ,96.74
Athens Area SD,117080503,2 or More Races,2.4
Athens Area SD,117080503,American Indian/Alaskan Native ,0.05
Athens Area SD,117080503,Asian ,1.15
Athens Area SD,117080503,Black/African American ,1.39
Athens Area SD,117080503,Career and Technical Center Name,Northern Tier Career Center
Athens Area SD,117080503,Career and Technical Center Website,http://www.ntccschool.org
Athens Area SD,117080503,Charter School Enrollment,40
Athens Area SD,117080503,District Address (City),Athens
Athens Area SD,117080503,District Address (State),PA
Athens Area SD,117080503,District Address (Street),100 Canal Street
Athens Area SD,117080503,District Enrollment,2086
Athens Area SD,117080503,District Name,Athens Area SD
Athens Area SD,117080503,District Zip Code,18810
Athens Area SD,117080503,Economically Disadvantaged,40.94
Athens Area SD,117080503,English Learner,0.67
Athens Area SD,117080503,Enrollment in Partnering Career and Technical Center(s),74
Athens Area SD,117080503,Female,48.42
Athens Area SD,117080503,Foster Care,0.77
Athens Area SD,117080503,Geographic Size of District (Square Miles),183
Athens Area SD,117080503,Grades Offered,"K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Athens Area SD,117080503,Hispanic ,1.68
Athens Area SD,117080503,Homeless,1.44
Athens Area SD,117080503,Intermediate Unit Name,BLaST IU 17
Athens Area SD,117080503,Intermediate Unit Website,http://www.iu17.org
Athens Area SD,117080503,Male,51.58
Athens Area SD,117080503,Military Connected,0.24
Athens Area SD,117080503,Native Hawaiian or other Pacific Islander ,0.14
Athens Area SD,117080503,Number of Schools,4
Athens Area SD,117080503,Percent of Gifted Students,1.87
Athens Area SD,117080503,Special Education,19.27
Athens Area SD,117080503,Telephone Number,570-888-7766
Athens Area SD,117080503,Website,http://www.athensasd.k12.pa.us/
Athens Area SD,117080503,White ,93.19
Austin Area SD,109530304,2 or More Races,0.51
Austin Area SD,109530304,American Indian/Alaskan Native ,0
Austin Area SD,109530304,Asian ,0
Austin Area SD,109530304,Black/African American ,0.51
Austin Area SD,109530304,Career and Technical Center Name,Seneca Highlands Career and Technical Center
Austin Area SD,109530304,Career and Technical Center Website,http://www.iu9.org
Austin Area SD,109530304,Charter School Enrollment,1
Austin Area SD,109530304,District Address (City),Austin
Austin Area SD,109530304,District Address (State),PA
Austin Area SD,109530304,District Address (Street),138 Costello Avenue
Austin Area SD,109530304,District Enrollment,196
Austin Area SD,109530304,District Name,Austin Area SD
Austin Area SD,109530304,District Zip Code,16720
Austin Area SD,109530304,Economically Disadvantaged,49.49
Austin Area SD,109530304,English Learner,0.51
Austin Area SD,109530304,Enrollment in Partnering Career and Technical Center(s),9
Austin Area SD,109530304,Female,41.84
Austin Area SD,109530304,Foster Care,0.51
Austin Area SD,109530304,Geographic Size of District (Square Miles),226.05
Austin Area SD,109530304,Grades Offered,"K4F, K5F, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
Austin Area SD,109530304,Hispanic ,1.02
Austin Area SD,109530304,Homeless,4.08
Austin Area SD,109530304,Intermediate Unit Name,Seneca Highlands IU 9
Austin Area SD,109530304,Intermediate Unit Website,http://www.iu9.org
Austin Area SD,109530304,Male,58.16
Austin Area SD,109530304,Military Connected,0
Austin Area SD,109530304,Native Hawaiian or other Pacific Islander ,0.51
Austin Area SD,109530304,Number of Schools,2
Austin Area SD,109530304,Percent of Gifted Students,0
Austin Area SD,109530304,Special Education,26.53
Austin Area SD,109530304,Telephone Number,814-647-8603
Austin Area SD,109530304,Website,http://www.austinsd.net/
Austin Area SD,109530304,White ,97.45
